wo_number,equipment_id,equipment_type,wo_type,status,created_date,scheduled_date,completed_date,assigned_technician,downtime_hours,labor_hours,part_number,priority,description
WO-25392,F-095,Forklift,Preventive,Completed,2025-11-20,2025-11-25,2025-11-27,Sarah Chen,0.0,2.2,,Medium,Quarterly maintenance cycle
WO-25490,C-099,Chiller,Corrective,Completed,2025-11-20,2025-11-23,2025-11-24,Maria Garcia,14.5,20.0,,Medium,Pressure relief valve replacement
WO-24991,AC-014,Air Compressor,Preventive,Completed,2025-11-20,2025-11-25,2025-11-28,Emily Davis,0.0,4.5,HOS-962,Low,Annual inspection and coating check
WO-24372,AC-014,Air Compressor,Preventive,Completed,2025-11-20,2025-11-22,2025-11-25,James Wilson,0.0,1.6,,Critical,Weekly lubrication and inspection
WO-25013,HS-024,HVAC System,Corrective,Completed,2025-11-20,2025-11-24,2025-11-26,David Kim,0.0,2.3,PUM-148,High,Seal leaking - parts ordered
WO-25100,CP-015,Centrifugal Pump,Preventive,Open,2025-11-20,2025-11-21,,Robert Johnson,0.0,,,Medium,Monthly calibration check
WO-24427,HS-021,HVAC System,Corrective,Completed,2025-11-20,2025-11-23,2025-11-26,David Kim,8.3,14.5,BEA-847,High,Motor overheating - thermal relay replaced
WO-24866,CP-015,Centrifugal Pump,Corrective,Completed,2025-11-19,2025-11-22,2025-11-22,Jennifer Lee,10.0,16.1,,High,Pressure relief valve replacement
WO-24840,HP-007,Hydraulic Pump,Preventive,Completed,2025-11-19,2025-11-24,2025-11-27,Mike Thompson,0.0,4.1,,Medium,Weekly lubrication and inspection
WO-25077,F-076,Forklift,Corrective,In Progress,2025-11-19,2025-11-24,,Maria Garcia,19.0,,ENC-930,Critical,Main drive bearing failure - emergency repair
WO-24097,HS-012,HVAC System,Corrective,Completed,2025-11-19,2025-11-22,2025-11-24,Maria Garcia,17.2,23.5,,Low,Multiple seal failures - contamination issue
WO-25432,C-080,Chiller,Preventive,Completed,2025-11-19,2025-11-22,2025-11-24,Lisa Anderson,0.0,3.5,,Medium,Quarterly maintenance cycle
WO-24309,M-019,Mixer,Corrective,Scheduled,2025-11-19,2025-11-23,,Emily Davis,0.0,,SER-728,Medium,Unloader valve failure - compressor cycling
WO-25359,C-097,Crane,Preventive,Completed,2025-11-19,2025-11-22,2025-11-25,David Kim,0.0,1.5,,Medium,Monthly filter replacement
WO-25531,B-069,Boiler,Preventive,Completed,2025-11-19,2025-11-20,2025-11-20,James Wilson,0.0,2.6,,Low,Routine maintenance and inspection
WO-24410,B-038,Boiler,Corrective,Completed,2025-11-19,2025-11-21,2025-11-21,Lisa Anderson,3.4,7.3,HOS-707,Critical,Belt tracking issue - alignment needed
WO-25498,F-076,Forklift,Preventive,Scheduled,2025-11-19,2025-11-20,,Jennifer Lee,0.0,,,Medium,Monthly calibration check
WO-24536,CP-066,Centrifugal Pump,Preventive,Completed,2025-11-19,2025-11-22,2025-11-22,David Kim,0.0,3.6,,Low,Routine maintenance and inspection
WO-25574,HP-085,Hydraulic Pump,Corrective,Completed,2025-11-19,2025-11-20,2025-11-22,James Wilson,7.3,13.2,,Low,Replace mechanical seal - excessive leaking
WO-24272,AC-014,Air Compressor,Corrective,Completed,2025-11-18,2025-11-23,2025-11-24,Robert Johnson,18.4,28.3,,Low,Hydraulic cylinder failure - production down
WO-24763,RA-050,Robotic Arm,Preventive,Completed,2025-11-18,2025-11-19,2025-11-22,Lisa Anderson,0.0,2.0,,Low,Quarterly maintenance cycle
WO-24284,G-092,Gearbox,Preventive,Completed,2025-11-18,2025-11-19,2025-11-21,Mike Thompson,0.0,2.5,,Medium,Weekly lubrication and inspection
WO-25696,HP-088,Hydraulic Press,Corrective,Cancelled,2025-11-18,2025-11-22,,David Kim,6.8,,SER-554,High,Belt tracking issue - alignment needed
WO-24842,HP-088,Hydraulic Press,Corrective,Completed,2025-11-18,2025-11-20,2025-11-23,John Martinez,0.0,4.5,,Critical,Hydraulic cylinder failure - production down
WO-25225,G-006,Gearbox,Corrective,Completed,2025-11-18,2025-11-19,2025-11-19,Sarah Chen,7.4,12.2,,High,Pressure relief valve replacement
WO-25538,CT-089,Cooling Tower,Scheduled Inspection,Scheduled,2025-11-18,2025-11-20,,Sarah Chen,0.0,,,Medium,Multiple seal failures - contamination issue
WO-25356,EM-056,Electric Motor,Emergency,In Progress,2025-11-18,2025-11-21,,Robert Johnson,0.0,,,Medium,Pressure relief valve replacement
WO-25626,B-073,Blower,Corrective,Completed,2025-11-18,2025-11-22,2025-11-24,Robert Johnson,0.0,2.2,PUM-624,Low,Motor overheating - thermal relay replaced
WO-25670,C-052,Crane,Scheduled Inspection,Completed,2025-11-18,2025-11-23,2025-11-24,Jennifer Lee,0.0,3.1,,High,Unloader valve failure - compressor cycling
WO-25316,F-048,Forklift,Corrective,In Progress,2025-11-17,2025-11-18,,Jennifer Lee,8.6,,MOT-996,Medium,Belt tracking issue - alignment needed
WO-25697,B-073,Blower,Preventive,Completed,2025-11-17,2025-11-22,2025-11-24,Sarah Chen,0.0,2.6,,Medium,Weekly lubrication and inspection
WO-24078,RA-093,Robotic Arm,Preventive,Completed,2025-11-17,2025-11-21,2025-11-21,Jennifer Lee,0.0,2.1,CYL-502,Low,Quarterly maintenance cycle
WO-25314,HP-029,Hydraulic Press,Preventive,Completed,2025-11-17,2025-11-20,2025-11-21,James Wilson,0.0,4.9,FIL-920,Low,Routine maintenance and inspection
WO-25547,F-048,Forklift,Preventive,Completed,2025-11-17,2025-11-20,2025-11-20,Sarah Chen,0.0,1.2,SEA-601,Low,Routine maintenance and inspection
WO-25271,RA-072,Robotic Arm,Corrective,Completed,2025-11-17,2025-11-21,2025-11-24,Lisa Anderson,0.0,2.6,,High,Bearing seizure - replacement required
WO-24102,M-084,Mixer,Preventive,Completed,2025-11-17,2025-11-19,2025-11-22,Sarah Chen,0.0,1.8,,Medium,Quarterly maintenance cycle
WO-25529,B-070,Boiler,Emergency,Completed,2025-11-17,2025-11-18,2025-11-21,John Martinez,2.0,4.5,,Low,Unloader valve failure - compressor cycling
WO-24377,HP-062,Hydraulic Press,Scheduled Inspection,Completed,2025-11-17,2025-11-18,2025-11-21,David Kim,0.0,2.2,,Medium,Multiple seal failures - contamination issue
WO-24863,B-044,Boiler,Preventive,Open,2025-11-17,2025-11-19,,Jennifer Lee,0.0,,IMP-277,High,Monthly calibration check
WO-25165,RA-094,Robotic Arm,Corrective,Completed,2025-11-17,2025-11-18,2025-11-21,Jennifer Lee,16.8,24.0,,Critical,Replace mechanical seal - excessive leaking
WO-24661,RA-060,Robotic Arm,Corrective,Completed,2025-11-17,2025-11-22,2025-11-23,Sarah Chen,0.0,1.4,,High,Motor overheating - thermal relay replaced
WO-25193,RA-093,Robotic Arm,Corrective,Completed,2025-11-17,2025-11-19,2025-11-21,James Wilson,18.0,26.1,,Critical,Motor overheating - thermal relay replaced
WO-24800,EM-068,Electric Motor,Preventive,Completed,2025-11-17,2025-11-21,2025-11-21,Robert Johnson,0.0,1.5,,Medium,Annual inspection and coating check
WO-25690,B-016,Blower,Preventive,Open,2025-11-17,2025-11-22,,David Kim,0.0,,COM-751,Critical,Quarterly maintenance cycle
WO-24163,M-084,Mixer,Corrective,Completed,2025-11-17,2025-11-22,2025-11-25,Lisa Anderson,5.2,9.2,,High,Seal leaking - parts ordered
WO-24360,HS-002,HVAC System,Corrective,Scheduled,2025-11-17,2025-11-21,,Robert Johnson,15.0,,VAL-907,Critical,Motor overheating - thermal relay replaced
WO-24348,F-095,Forklift,Corrective,Completed,2025-11-16,2025-11-18,2025-11-20,David Kim,3.4,8.9,IMP-195,Critical,Main drive bearing failure - emergency repair
WO-24798,HS-012,HVAC System,Scheduled Inspection,Completed,2025-11-16,2025-11-18,2025-11-19,David Kim,0.0,4.5,,Medium,Seal leaking - parts ordered
WO-24601,F-035,Forklift,Corrective,Scheduled,2025-11-16,2025-11-21,,James Wilson,0.0,,PUM-968,Medium,Hydraulic cylinder failure - production down
WO-25078,RA-032,Robotic Arm,Preventive,Completed,2025-11-16,2025-11-21,2025-11-24,Emily Davis,0.0,1.6,,High,Monthly filter replacement
WO-25215,HS-022,HVAC System,Preventive,Open,2025-11-16,2025-11-20,,Mike Thompson,0.0,,CYL-608,Medium,Monthly filter replacement
WO-24305,C-065,Chiller,Preventive,Completed,2025-11-16,2025-11-19,2025-11-22,Mike Thompson,0.0,1.1,IMP-763,Critical,Routine maintenance and inspection
WO-25767,HP-062,Hydraulic Press,Corrective,Open,2025-11-16,2025-11-18,,Lisa Anderson,4.9,,BEL-523,Medium,Hydraulic cylinder failure - production down
WO-24399,C-080,Chiller,Corrective,Completed,2025-11-16,2025-11-21,2025-11-23,David Kim,15.3,24.3,COM-535,High,Motor overheating - thermal relay replaced
WO-24361,HS-024,HVAC System,Preventive,Completed,2025-11-16,2025-11-17,2025-11-18,David Kim,0.0,4.0,,Low,Annual inspection and coating check
WO-24506,CT-082,Cooling Tower,Preventive,Completed,2025-11-16,2025-11-18,2025-11-21,Sarah Chen,0.0,3.4,FIL-118,High,Monthly filter replacement
WO-25283,F-076,Forklift,Corrective,In Progress,2025-11-15,2025-11-20,,James Wilson,8.3,,THE-965,High,Unloader valve failure - compressor cycling
WO-24002,CT-031,Cooling Tower,Corrective,Completed,2025-11-15,2025-11-20,2025-11-22,Emily Davis,18.8,27.7,ENC-208,Medium,Seal leaking - parts ordered
WO-24598,F-039,Forklift,Emergency,Completed,2025-11-15,2025-11-18,2025-11-19,Robert Johnson,0.0,4.8,,High,Seal leaking - parts ordered
WO-24351,B-016,Blower,Corrective,Completed,2025-11-15,2025-11-16,2025-11-16,Emily Davis,2.6,5.8,BEA-622,Critical,Replace mechanical seal - excessive leaking
WO-25413,CP-042,Centrifugal Pump,Preventive,Completed,2025-11-15,2025-11-20,2025-11-22,James Wilson,0.0,3.0,,Critical,Monthly calibration check
WO-25278,M-061,Mixer,Preventive,Completed,2025-11-15,2025-11-18,2025-11-20,Robert Johnson,0.0,1.5,,Medium,Monthly calibration check
WO-24101,HP-085,Hydraulic Pump,Corrective,Completed,2025-11-15,2025-11-18,2025-11-19,Lisa Anderson,15.7,22.7,VAL-591,Medium,Hydraulic cylinder failure - production down
WO-24362,CP-008,Centrifugal Pump,Preventive,Cancelled,2025-11-15,2025-11-20,,Lisa Anderson,0.0,,FIL-919,High,Weekly lubrication and inspection
WO-24959,HS-022,HVAC System,Preventive,Completed,2025-11-14,2025-11-18,2025-11-21,Maria Garcia,0.0,1.4,,Medium,Monthly calibration check
WO-25675,AC-096,Air Compressor,Scheduled Inspection,Completed,2025-11-14,2025-11-18,2025-11-21,Lisa Anderson,0.0,3.8,,Medium,Motor overheating - thermal relay replaced
WO-25232,M-019,Mixer,Corrective,Completed,2025-11-14,2025-11-18,2025-11-18,Robert Johnson,18.2,27.6,,Low,Main drive bearing failure - emergency repair
WO-24475,AC-001,Air Compressor,Corrective,Scheduled,2025-11-14,2025-11-19,,David Kim,0.0,,,Low,Bearing seizure - replacement required
WO-25126,G-020,Gearbox,Corrective,Open,2025-11-14,2025-11-18,,Maria Garcia,14.4,,THE-676,Medium,Motor overheating - thermal relay replaced
WO-25448,F-048,Forklift,Preventive,Completed,2025-11-14,2025-11-18,2025-11-21,Jennifer Lee,0.0,4.3,COM-207,Medium,Quarterly maintenance cycle
WO-24302,G-047,Gearbox,Corrective,Completed,2025-11-14,2025-11-19,2025-11-21,Sarah Chen,0.0,3.4,FIL-718,Low,Multiple seal failures - contamination issue
WO-25276,CT-026,Cooling Tower,Scheduled Inspection,Completed,2025-11-13,2025-11-18,2025-11-20,Emily Davis,0.0,2.7,,High,Pressure relief valve replacement
WO-25187,CP-049,Centrifugal Pump,Preventive,Open,2025-11-13,2025-11-16,,Jennifer Lee,0.0,,,Low,Routine maintenance and inspection
WO-24412,B-055,Boiler,Corrective,Completed,2025-11-13,2025-11-14,2025-11-15,Jennifer Lee,6.8,11.3,,High,Motor overheating - thermal relay replaced
WO-25524,EM-078,Electric Motor,Corrective,Completed,2025-11-13,2025-11-18,2025-11-20,Emily Davis,0.0,2.1,BEL-366,Critical,Bearing seizure - replacement required
WO-25002,G-092,Gearbox,Preventive,Completed,2025-11-13,2025-11-16,2025-11-16,David Kim,0.0,2.7,,High,Quarterly maintenance cycle
WO-24546,M-059,Mixer,Emergency,Cancelled,2025-11-13,2025-11-18,,James Wilson,17.4,,,High,Belt tracking issue - alignment needed
WO-24336,F-034,Forklift,Corrective,Scheduled,2025-11-13,2025-11-17,,Robert Johnson,0.0,,,Medium,Hydraulic cylinder failure - production down
WO-24148,HP-007,Hydraulic Pump,Corrective,Completed,2025-11-13,2025-11-16,2025-11-19,Robert Johnson,18.0,25.2,THE-822,High,Unloader valve failure - compressor cycling
WO-25272,M-041,Mixer,Preventive,Completed,2025-11-12,2025-11-14,2025-11-14,James Wilson,0.0,2.5,FAN-169,Medium,Routine maintenance and inspection
WO-24897,M-059,Mixer,Corrective,Scheduled,2025-11-12,2025-11-17,,Jennifer Lee,2.2,,ENC-695,Critical,Bearing seizure - replacement required
WO-24265,F-048,Forklift,Preventive,Completed,2025-11-12,2025-11-15,2025-11-17,Maria Garcia,0.0,2.3,SER-355,Low,Routine maintenance and inspection
WO-24924,F-039,Forklift,Corrective,Completed,2025-11-12,2025-11-15,2025-11-16,Emily Davis,0.0,1.9,FIL-495,Low,Hydraulic cylinder failure - production down
WO-25257,M-084,Mixer,Preventive,Completed,2025-11-12,2025-11-14,2025-11-17,David Kim,0.0,1.2,,Low,Quarterly PM - filters and oil change
WO-24992,CP-015,Centrifugal Pump,Corrective,Completed,2025-11-12,2025-11-13,2025-11-16,Robert Johnson,4.6,8.6,SEA-942,Medium,Pressure relief valve replacement
WO-24788,RA-060,Robotic Arm,Scheduled Inspection,In Progress,2025-11-12,2025-11-13,,David Kim,0.0,,,Medium,Hydraulic cylinder failure - production down
WO-24208,ST-083,Storage Tank,Preventive,Open,2025-11-12,2025-11-14,,Sarah Chen,0.0,,,High,Monthly filter replacement
WO-24831,F-048,Forklift,Preventive,Completed,2025-11-11,2025-11-14,2025-11-16,Maria Garcia,0.0,3.4,,Medium,Monthly filter replacement
WO-25650,B-064,Boiler,Preventive,Completed,2025-11-11,2025-11-12,2025-11-13,Emily Davis,0.0,4.3,THE-732,Critical,Quarterly maintenance cycle
WO-25067,RA-050,Robotic Arm,Corrective,Completed,2025-11-11,2025-11-15,2025-11-15,Robert Johnson,0.0,4.5,FAN-293,Medium,Belt tracking issue - alignment needed
WO-24088,G-092,Gearbox,Preventive,Completed,2025-11-11,2025-11-13,2025-11-14,Emily Davis,0.0,4.5,,Medium,Quarterly PM - filters and oil change
WO-25104,HP-029,Hydraulic Press,Corrective,Open,2025-11-11,2025-11-12,,Mike Thompson,18.3,,COM-556,Low,Motor overheating - thermal relay replaced
WO-24062,B-069,Boiler,Corrective,In Progress,2025-11-11,2025-11-14,,Emily Davis,5.7,,BEL-203,Medium,Main drive bearing failure - emergency repair
WO-24756,EM-063,Electric Motor,Corrective,In Progress,2025-11-10,2025-11-11,,Emily Davis,10.5,,,Medium,Multiple seal failures - contamination issue
WO-25261,CP-054,Centrifugal Pump,Preventive,Completed,2025-11-10,2025-11-12,2025-11-13,Maria Garcia,0.0,4.3,,Medium,Annual inspection and coating check
WO-24068,F-076,Forklift,Corrective,Completed,2025-11-10,2025-11-14,2025-11-15,Jennifer Lee,11.1,18.7,SEA-848,Medium,Replace mechanical seal - excessive leaking
WO-24367,B-077,Boiler,Scheduled Inspection,Completed,2025-11-10,2025-11-12,2025-11-15,Mike Thompson,0.0,2.1,,Medium,Belt tracking issue - alignment needed
WO-25385,EM-078,Electric Motor,Preventive,In Progress,2025-11-10,2025-11-14,,Robert Johnson,0.0,,,Medium,Weekly lubrication and inspection
WO-25352,B-070,Boiler,Scheduled Inspection,Completed,2025-11-09,2025-11-13,2025-11-15,Lisa Anderson,0.0,1.2,,Medium,Bearing seizure - replacement required
WO-25125,G-047,Gearbox,Preventive,Completed,2025-11-09,2025-11-14,2025-11-16,Lisa Anderson,0.0,1.7,,Medium,Routine maintenance and inspection
WO-24117,RA-072,Robotic Arm,Corrective,In Progress,2025-11-09,2025-11-11,,David Kim,0.0,,SER-534,High,Unloader valve failure - compressor cycling
WO-24239,CP-057,Centrifugal Pump,Scheduled Inspection,Completed,2025-11-09,2025-11-10,2025-11-13,Emily Davis,0.0,1.5,,Medium,Unloader valve failure - compressor cycling
WO-25291,B-069,Boiler,Preventive,Completed,2025-11-09,2025-11-13,2025-11-15,Maria Garcia,0.0,2.7,IMP-423,High,Monthly filter replacement
WO-25616,F-035,Forklift,Corrective,Completed,2025-11-09,2025-11-11,2025-11-14,Lisa Anderson,0.0,4.4,,Medium,Multiple seal failures - contamination issue
WO-25519,RA-072,Robotic Arm,Emergency,Completed,2025-11-09,2025-11-10,2025-11-13,John Martinez,0.0,1.3,,Medium,Hydraulic cylinder failure - production down
WO-25419,ST-018,Storage Tank,Preventive,Open,2025-11-09,2025-11-13,,Maria Garcia,0.0,,,Medium,Monthly filter replacement
WO-25744,F-095,Forklift,Emergency,Open,2025-11-08,2025-11-10,,Jennifer Lee,8.6,,,High,Seal leaking - parts ordered
WO-25086,ST-033,Storage Tank,Corrective,Completed,2025-11-08,2025-11-10,2025-11-12,John Martinez,0.0,2.5,,High,Unloader valve failure - compressor cycling
WO-24083,HP-007,Hydraulic Pump,Preventive,Completed,2025-11-08,2025-11-12,2025-11-12,Maria Garcia,0.0,4.8,,Low,Monthly calibration check
WO-24707,RA-093,Robotic Arm,Corrective,Completed,2025-11-08,2025-11-13,2025-11-16,James Wilson,17.4,25.3,,Medium,Replace mechanical seal - excessive leaking
WO-24355,RA-050,Robotic Arm,Preventive,Completed,2025-11-08,2025-11-11,2025-11-11,David Kim,0.0,4.6,ENC-221,High,Monthly calibration check
WO-25571,B-044,Boiler,Corrective,Completed,2025-11-08,2025-11-11,2025-11-11,David Kim,5.5,12.1,CYL-655,Critical,Hydraulic cylinder failure - production down
WO-25449,C-027,Chiller,Corrective,Completed,2025-11-08,2025-11-13,2025-11-15,James Wilson,19.5,30.3,FAN-568,High,Main drive bearing failure - emergency repair
WO-25719,F-035,Forklift,Corrective,Completed,2025-11-08,2025-11-09,2025-11-11,John Martinez,16.1,25.2,ENC-739,Medium,Motor overheating - thermal relay replaced
WO-24119,EM-078,Electric Motor,Preventive,Cancelled,2025-11-08,2025-11-09,,Jennifer Lee,0.0,,,Medium,Quarterly maintenance cycle
WO-25055,CT-031,Cooling Tower,Preventive,Completed,2025-11-08,2025-11-10,2025-11-12,Jennifer Lee,0.0,4.6,,Medium,Quarterly maintenance cycle
WO-24447,B-098,Blower,Preventive,Completed,2025-11-08,2025-11-09,2025-11-11,Jennifer Lee,0.0,4.8,,Medium,Routine maintenance and inspection
WO-24520,HP-075,Hydraulic Pump,Preventive,In Progress,2025-11-08,2025-11-12,,James Wilson,0.0,,,Low,Weekly lubrication and inspection
WO-24141,B-028,Boiler,Corrective,Completed,2025-11-07,2025-11-12,2025-11-12,David Kim,15.0,22.7,THE-965,Critical,Replace mechanical seal - excessive leaking
WO-25088,RA-094,Robotic Arm,Corrective,Cancelled,2025-11-07,2025-11-10,,Lisa Anderson,0.0,,,Critical,Replace mechanical seal - excessive leaking
WO-24538,B-038,Boiler,Preventive,Completed,2025-11-07,2025-11-09,2025-11-11,Maria Garcia,0.0,2.0,,Medium,Monthly calibration check
WO-25020,M-041,Mixer,Preventive,In Progress,2025-11-07,2025-11-11,,David Kim,0.0,,THE-731,Low,Weekly lubrication and inspection
WO-24654,B-016,Blower,Corrective,Completed,2025-11-07,2025-11-08,2025-11-11,Sarah Chen,5.9,11.4,BEA-714,Low,Replace mechanical seal - excessive leaking
WO-25772,B-064,Boiler,Preventive,Completed,2025-11-07,2025-11-10,2025-11-11,Lisa Anderson,0.0,3.6,,High,Quarterly maintenance cycle
WO-24253,CT-082,Cooling Tower,Emergency,Open,2025-11-07,2025-11-08,,James Wilson,4.3,,,High,Main drive bearing failure - emergency repair
WO-25775,CP-086,Centrifugal Pump,Scheduled Inspection,Open,2025-11-07,2025-11-09,,James Wilson,0.0,,,Medium,Replace mechanical seal - excessive leaking
WO-24273,B-064,Boiler,Scheduled Inspection,Completed,2025-11-07,2025-11-11,2025-11-12,Mike Thompson,0.0,3.4,,Low,Bearing seizure - replacement required
WO-24954,G-006,Gearbox,Corrective,Open,2025-11-07,2025-11-09,,Lisa Anderson,0.0,,,Critical,Hydraulic cylinder failure - production down
WO-25249,CB-079,Conveyor Belt,Corrective,Completed,2025-11-07,2025-11-09,2025-11-12,Maria Garcia,0.0,3.5,,Low,Seal leaking - parts ordered
WO-24103,C-090,Crane,Corrective,Completed,2025-11-07,2025-11-08,2025-11-11,John Martinez,2.7,6.2,,High,Replace mechanical seal - excessive leaking
WO-25437,RA-072,Robotic Arm,Scheduled Inspection,Completed,2025-11-07,2025-11-11,2025-11-12,John Martinez,0.0,2.3,,Low,Belt tracking issue - alignment needed
WO-24568,EM-056,Electric Motor,Preventive,Completed,2025-11-07,2025-11-11,2025-11-11,John Martinez,0.0,3.2,,Low,Quarterly PM - filters and oil change
WO-24611,F-048,Forklift,Emergency,Completed,2025-11-06,2025-11-11,2025-11-12,James Wilson,0.0,4.2,,Critical,Seal leaking - parts ordered
WO-25149,CP-087,Centrifugal Pump,Corrective,Completed,2025-11-06,2025-11-09,2025-11-11,David Kim,13.3,21.7,FIL-552,High,Belt tracking issue - alignment needed
WO-24675,B-073,Blower,Preventive,In Progress,2025-11-06,2025-11-08,,David Kim,0.0,,IMP-364,Medium,Routine maintenance and inspection
WO-24823,CT-089,Cooling Tower,Preventive,Open,2025-11-06,2025-11-08,,Emily Davis,0.0,,COM-782,Medium,Annual inspection and coating check
WO-24528,C-046,Crane,Corrective,Completed,2025-11-06,2025-11-09,2025-11-10,Robert Johnson,18.9,29.4,COI-906,Medium,Replace mechanical seal - excessive leaking
WO-25158,CT-005,Cooling Tower,Corrective,Open,2025-11-06,2025-11-10,,David Kim,0.0,,VAL-160,High,Unloader valve failure - compressor cycling
WO-25323,F-048,Forklift,Preventive,Completed,2025-11-06,2025-11-11,2025-11-14,Robert Johnson,0.0,2.4,,Medium,Monthly filter replacement
WO-24550,HP-100,Hydraulic Pump,Scheduled Inspection,In Progress,2025-11-06,2025-11-11,,John Martinez,0.0,,,Medium,Bearing seizure - replacement required
WO-25788,C-080,Chiller,Corrective,Completed,2025-11-05,2025-11-08,2025-11-10,Sarah Chen,10.8,16.4,,Critical,Bearing seizure - replacement required
WO-24799,B-028,Boiler,Corrective,Scheduled,2025-11-05,2025-11-08,,Robert Johnson,3.3,,,High,Pressure relief valve replacement
WO-24108,HP-007,Hydraulic Pump,Corrective,Cancelled,2025-11-05,2025-11-08,,James Wilson,9.5,,,Medium,Replace mechanical seal - excessive leaking
WO-25296,CP-015,Centrifugal Pump,Corrective,In Progress,2025-11-05,2025-11-09,,Sarah Chen,0.0,,PUM-587,High,Pressure relief valve replacement
WO-24994,ST-083,Storage Tank,Corrective,Completed,2025-11-05,2025-11-07,2025-11-07,Maria Garcia,12.7,18.3,PUM-656,High,Unloader valve failure - compressor cycling
WO-24032,CP-049,Centrifugal Pump,Scheduled Inspection,Completed,2025-11-05,2025-11-08,2025-11-08,Robert Johnson,0.0,4.6,,Low,Motor overheating - thermal relay replaced
WO-24886,C-037,Chiller,Preventive,Cancelled,2025-11-05,2025-11-09,,John Martinez,0.0,,VAL-414,Low,Weekly lubrication and inspection
WO-24638,EM-068,Electric Motor,Corrective,Completed,2025-11-05,2025-11-08,2025-11-08,Emily Davis,13.8,19.3,PUM-360,High,Belt tracking issue - alignment needed
WO-24374,RA-060,Robotic Arm,Preventive,Completed,2025-11-05,2025-11-08,2025-11-11,Sarah Chen,0.0,4.3,,Medium,Weekly lubrication and inspection
WO-25131,CP-008,Centrifugal Pump,Preventive,Completed,2025-11-04,2025-11-06,2025-11-06,Lisa Anderson,0.0,3.6,COI-275,Low,Annual inspection and coating check
WO-24460,HP-075,Hydraulic Pump,Corrective,In Progress,2025-11-04,2025-11-05,,Lisa Anderson,10.9,,SER-555,Critical,Bearing seizure - replacement required
WO-25080,F-051,Forklift,Corrective,Completed,2025-11-04,2025-11-05,2025-11-07,John Martinez,4.1,8.5,COM-352,Low,Multiple seal failures - contamination issue
WO-25285,EM-056,Electric Motor,Preventive,Completed,2025-11-04,2025-11-07,2025-11-07,Lisa Anderson,0.0,4.6,,Low,Weekly lubrication and inspection
WO-25662,C-027,Chiller,Corrective,Completed,2025-11-04,2025-11-08,2025-11-10,Robert Johnson,12.7,21.0,VAL-414,Critical,Motor overheating - thermal relay replaced
WO-25593,B-070,Boiler,Preventive,Open,2025-11-04,2025-11-08,,James Wilson,0.0,,FIL-560,Medium,Routine maintenance and inspection
WO-24035,F-076,Forklift,Preventive,Cancelled,2025-11-04,2025-11-05,,Maria Garcia,0.0,,,Medium,Monthly calibration check
WO-25420,CT-082,Cooling Tower,Corrective,Completed,2025-11-04,2025-11-05,2025-11-08,Emily Davis,3.7,9.3,,High,Replace mechanical seal - excessive leaking
WO-25393,HS-071,HVAC System,Corrective,Completed,2025-11-04,2025-11-05,2025-11-07,Robert Johnson,17.6,24.0,,High,Replace mechanical seal - excessive leaking
WO-25171,C-065,Chiller,Corrective,In Progress,2025-11-04,2025-11-08,,Mike Thompson,10.7,,BEL-158,Medium,Multiple seal failures - contamination issue
WO-24092,G-006,Gearbox,Corrective,Completed,2025-11-04,2025-11-06,2025-11-08,Robert Johnson,17.3,26.6,,Low,Belt tracking issue - alignment needed
WO-24146,CP-049,Centrifugal Pump,Corrective,Completed,2025-11-04,2025-11-09,2025-11-10,John Martinez,0.0,4.5,BEA-921,Low,Pressure relief valve replacement
WO-24359,G-006,Gearbox,Corrective,Completed,2025-11-03,2025-11-04,2025-11-04,David Kim,10.6,18.1,FAN-419,Medium,Belt tracking issue - alignment needed
WO-24439,HS-022,HVAC System,Preventive,Completed,2025-11-03,2025-11-06,2025-11-07,John Martinez,0.0,4.9,,High,Weekly lubrication and inspection
WO-24425,C-081,Crane,Corrective,Open,2025-11-03,2025-11-08,,Sarah Chen,18.6,,MOT-124,Low,Seal leaking - parts ordered
WO-24051,HS-002,HVAC System,Preventive,Completed,2025-11-03,2025-11-05,2025-11-05,Lisa Anderson,0.0,3.3,,Medium,Routine maintenance and inspection
WO-24247,HS-021,HVAC System,Preventive,Completed,2025-11-03,2025-11-07,2025-11-07,Sarah Chen,0.0,3.9,,High,Quarterly maintenance cycle
WO-24242,F-051,Forklift,Preventive,Scheduled,2025-11-03,2025-11-08,,Robert Johnson,0.0,,VAL-567,Medium,Quarterly maintenance cycle
WO-24941,RA-094,Robotic Arm,Corrective,Completed,2025-11-03,2025-11-04,2025-11-05,John Martinez,0.0,2.5,BEA-708,Critical,Replace mechanical seal - excessive leaking
WO-24557,F-039,Forklift,Scheduled Inspection,Completed,2025-11-03,2025-11-05,2025-11-05,John Martinez,0.0,2.9,,Medium,Belt tracking issue - alignment needed
WO-25319,B-025,Boiler,Corrective,Completed,2025-11-03,2025-11-07,2025-11-09,Mike Thompson,0.0,3.1,PUM-693,Medium,Motor overheating - thermal relay replaced
WO-25672,HS-022,HVAC System,Corrective,Completed,2025-11-03,2025-11-05,2025-11-06,Robert Johnson,5.0,11.2,ENC-759,High,Unloader valve failure - compressor cycling
WO-25754,ST-033,Storage Tank,Preventive,Open,2025-11-03,2025-11-04,,Jennifer Lee,0.0,,,Medium,Quarterly PM - filters and oil change
WO-24183,B-064,Boiler,Preventive,Completed,2025-11-03,2025-11-07,2025-11-10,Maria Garcia,0.0,1.4,FAN-904,Medium,Quarterly maintenance cycle
