part_number,part_description,category,quantity_on_hand,reorder_point,unit_cost,location_bin,last_ordered_date
CYL-455,Welded Cylinder,Cylinders,11,17,895.24,E-09-D,
FAN-456,Axial Fan 24in,Fans,22,20,295.15,C-11-D,2025-08-13
COM-457,Reciprocating Compressor,Compressors,22,7,2074.82,F-16-B,2025-12-06
HOS-458,Water Hose,Hoses,23,19,56.78,C-06-D,
FIL-459,Fuel Filter,Filters,8,8,39.66,D-07-A,2025-12-12
IMP-460,Closed Impeller,Impellers,7,6,376.64,A-16-C,
SER-461,Servo Gearbox,Servos,13,7,2030.35,E-05-B,2025-09-26
THE-462,Wireless Thermostat,Thermostats,3,6,230.06,E-15-B,2025-08-18
FIL-463,Air Filter Element,Filters,6,6,55.9,C-19-A,2025-09-20
MOT-464,AC Motor 5HP,Motors,19,16,408.01,D-14-A,2025-11-14
BEA-465,Ball Bearing SKF,Bearings,23,10,122.21,A-05-D,2025-09-13
MOT-466,DC Motor 3HP,Motors,10,15,628.22,C-19-C,
COM-467,Scroll Compressor,Compressors,29,5,2345.57,F-06-A,
ENC-468,Absolute Encoder,Encoders,0,17,720.18,D-19-C,2025-10-04
COI-469,Evaporator Coil,Coils,16,19,459.29,E-12-C,2025-09-05
IMP-470,Semi-Open Impeller,Impellers,30,20,272.45,F-15-A,2025-10-01
FAN-471,Cooling Fan,Fans,18,19,450.01,B-10-A,
IMP-472,Pump Impeller 6in,Impellers,20,19,253.04,E-13-B,2026-01-07
BEL-473,Serpentine Belt,Belts,14,12,92.45,A-14-B,2025-11-18
BEA-474,Thrust Bearing,Bearings,15,19,103.46,B-08-D,2025-09-17
MOT-475,Servo Motor,Motors,13,10,529.32,D-17-A,2025-09-21
FAN-476,Centrifugal Fan,Fans,3,20,408.91,A-02-D,2025-12-05
SER-477,Servo Motor 2kW,Servos,7,12,1287.57,F-16-C,2025-07-24
HOS-478,Air Hose 50ft,Hoses,9,18,59.17,B-16-B,2025-08-23
VAL-479,Solenoid Valve 24V,Valves,13,20,107.44,E-04-A,2025-08-08
SER-480,Servo Controller,Servos,2,6,2002.13,A-04-C,
IMP-481,Pump Impeller 6in,Impellers,22,12,266.35,F-03-D,2025-08-02
HOS-482,Hydraulic Hose 1/2in,Hoses,3,6,73.33,F-01-B,2025-12-11
ENC-483,Absolute Encoder,Encoders,4,18,1109.9,D-04-D,2025-12-17
BEA-484,Pillow Block Bearing,Bearings,23,15,86.59,B-05-D,2025-11-05
SEA-485,Face Seal Assembly,Seals,26,6,241.09,E-18-B,2026-01-10
BEL-486,Flat Belt 6in,Belts,22,9,91.89,C-15-B,2025-07-27
BEA-487,Ball Bearing SKF,Bearings,12,9,96.61,B-16-D,2025-12-27
BEA-488,Ball Bearing SKF,Bearings,17,12,77.2,A-06-C,
ENC-489,Incremental Encoder,Encoders,29,10,928.19,D-07-C,
PUM-490,Diaphragm Pump,Pumps,18,9,1016.04,F-02-D,2025-12-26
HOS-491,Air Hose 50ft,Hoses,26,8,64.9,D-08-C,
SEA-492,Shaft Seal Kit,Seals,26,7,164.45,D-10-C,2025-08-10
IMP-493,Semi-Open Impeller,Impellers,6,7,256.24,B-16-A,
ENC-494,Absolute Encoder,Encoders,0,10,785.2,D-09-C,2025-09-16
FIL-495,Hydraulic Filter 10 Micron,Filters,7,17,47.38,B-14-B,2025-09-03
BEA-496,Thrust Bearing,Bearings,23,11,105.92,B-18-C,
COM-497,Reciprocating Compressor,Compressors,24,20,2293.98,F-02-A,
BEA-498,Roller Bearing 6205,Bearings,7,8,70.42,F-11-B,2025-12-26
SER-499,Servo Drive,Servos,11,19,1429.04,F-06-C,
CYL-500,Pneumatic Cylinder,Cylinders,27,10,961.04,F-09-D,
MOT-501,Stepper Motor,Motors,17,13,557.34,E-09-C,2025-07-21
CYL-502,Pneumatic Cylinder,Cylinders,6,13,976.8,E-10-D,2025-11-20
THE-503,Analog Thermostat,Thermostats,7,17,176.3,C-09-B,2025-10-27
MOT-504,Stepper Motor,Motors,30,19,536.55,F-20-C,2025-08-08
PUM-505,Diaphragm Pump,Pumps,6,12,947.15,E-17-D,
CYL-506,Tie-Rod Cylinder,Cylinders,20,15,980.7,D-04-B,2025-07-21
FAN-507,Exhaust Fan,Fans,24,20,294.21,C-13-D,2025-10-11
CYL-508,Pneumatic Cylinder,Cylinders,2,11,1006.83,F-01-C,2025-10-13
COI-509,Evaporator Coil,Coils,24,7,365.78,A-14-C,2025-11-18
FAN-510,Exhaust Fan,Fans,28,6,405.9,C-14-A,2025-12-02
FIL-511,Hydraulic Filter 10 Micron,Filters,3,13,45.62,B-06-A,2025-12-21
COM-512,Scroll Compressor,Compressors,1,13,2376.23,B-20-B,2025-10-19
CYL-513,Hydraulic Cylinder 4in,Cylinders,27,20,809.29,A-04-A,2025-09-25
HOS-514,Water Hose,Hoses,0,20,75.76,C-09-A,2026-01-05
HOS-515,Chemical Transfer Hose,Hoses,16,19,42.53,F-02-A,2025-12-14
THE-516,Wireless Thermostat,Thermostats,10,12,208.5,A-02-D,2025-12-11
ENC-517,Incremental Encoder,Encoders,21,9,693.51,D-10-A,2025-07-14
HOS-518,Water Hose,Hoses,8,15,45.4,F-19-A,
THE-519,Analog Thermostat,Thermostats,4,9,166.87,E-08-B,2025-10-18
PUM-520,Diaphragm Pump,Pumps,8,18,988.39,B-09-A,2025-07-14
CYL-521,Welded Cylinder,Cylinders,28,20,574.38,F-20-B,
MOT-522,DC Motor 3HP,Motors,28,7,647.6,C-06-D,
BEL-523,V-Belt A-Section,Belts,15,17,64.44,E-02-C,
COI-524,Condenser Coil,Coils,5,16,475.66,F-12-A,2026-01-08
PUM-525,Submersible Pump,Pumps,24,20,978.81,D-14-B,2025-07-28
FAN-526,Centrifugal Fan,Fans,2,14,330.3,C-16-A,2025-08-01
COI-527,Evaporator Coil,Coils,5,17,430.06,E-09-C,2025-10-24
HOS-528,Chemical Transfer Hose,Hoses,6,6,47.84,C-13-A,2025-09-04
FAN-529,Exhaust Fan,Fans,17,15,308.15,B-07-D,
THE-530,Digital Thermostat,Thermostats,10,6,197.54,E-06-D,
MOT-531,AC Motor 5HP,Motors,13,6,406.6,A-14-B,
FIL-532,Air Filter Element,Filters,12,13,58.76,B-11-A,2025-07-17
IMP-533,Closed Impeller,Impellers,5,9,311.4,C-16-A,
SER-534,Servo Controller,Servos,19,20,1725.34,A-14-B,2025-07-30
COM-535,Rotary Compressor,Compressors,6,5,2782.54,F-15-A,2025-09-21
SER-536,Servo Gearbox,Servos,11,20,1716.54,F-01-C,2025-08-12
BEA-537,Ball Bearing SKF,Bearings,29,9,119.43,A-02-D,2026-01-05
COI-538,Heating Coil,Coils,27,20,444.8,A-18-D,2025-11-03
ENC-539,Rotary Encoder,Encoders,20,17,1012.76,A-04-C,
COM-540,Rotary Compressor,Compressors,18,19,3166.38,F-08-B,
THE-541,Analog Thermostat,Thermostats,19,20,161.73,F-20-D,2025-10-29
BEA-542,Pillow Block Bearing,Bearings,1,17,109.04,F-13-B,2025-08-03
SER-543,Servo Drive,Servos,2,5,1514.9,A-14-A,2025-12-30
IMP-544,Pump Impeller 6in,Impellers,16,14,294.26,B-15-A,2025-12-14
SER-545,Servo Drive,Servos,30,19,1555.12,D-07-D,
VAL-546,Check Valve 2in,Valves,15,19,131.26,D-10-B,2025-11-11
BEA-547,Thrust Bearing,Bearings,2,20,82.69,C-03-D,
COM-548,Scroll Compressor,Compressors,27,13,2956.49,A-09-B,2025-11-15
CYL-549,Tie-Rod Cylinder,Cylinders,14,5,692.88,E-14-A,2025-10-03
BEL-550,Timing Belt,Belts,15,19,88.21,F-15-C,2025-09-24
THE-551,Analog Thermostat,Thermostats,0,5,228.92,E-02-C,
FIL-552,Air Filter Element,Filters,17,6,48.58,D-12-B,2025-09-03
BEA-553,Pillow Block Bearing,Bearings,25,10,112.33,B-10-C,2025-09-29
SER-554,Servo Motor 2kW,Servos,23,17,1401.36,C-04-A,
SER-555,Servo Drive,Servos,18,13,1755.13,C-07-B,2025-10-18
COM-556,Reciprocating Compressor,Compressors,17,12,2667.05,D-15-D,2025-09-18
PUM-557,Submersible Pump,Pumps,16,6,1351.3,F-17-A,2025-12-28
CYL-558,Pneumatic Cylinder,Cylinders,5,12,846.44,B-17-D,2025-09-08
CYL-559,Tie-Rod Cylinder,Cylinders,10,9,796.72,A-19-B,
FIL-560,Hydraulic Filter 10 Micron,Filters,0,20,43.95,C-10-C,
VAL-561,Solenoid Valve 24V,Valves,0,15,154.44,F-17-C,2025-07-19
THE-562,Wireless Thermostat,Thermostats,5,17,155.23,E-06-B,2025-10-17
SEA-563,Mechanical Seal - Type A,Seals,14,9,193.02,B-20-D,2025-08-06
PUM-564,Centrifugal Pump 3HP,Pumps,30,14,886.95,C-19-C,2025-10-11
IMP-565,Open Impeller,Impellers,0,13,337.35,E-01-D,2025-09-04
FAN-566,Axial Fan 24in,Fans,18,9,313.97,C-11-A,2025-12-03
VAL-567,Pressure Relief Valve,Valves,8,16,180.37,D-05-C,2025-11-12
FAN-568,Exhaust Fan,Fans,26,15,415.46,E-05-D,2025-11-07
BEL-569,Flat Belt 6in,Belts,15,10,87.8,D-07-A,2026-01-05
CYL-570,Tie-Rod Cylinder,Cylinders,24,9,583.51,C-12-A,2025-10-01
THE-571,Wireless Thermostat,Thermostats,28,5,198.88,C-04-C,
BEL-572,V-Belt A-Section,Belts,4,8,67.77,F-07-B,2025-08-03
FAN-573,Axial Fan 24in,Fans,6,11,287.49,C-07-B,
COM-574,Scroll Compressor,Compressors,27,8,2505.43,A-08-A,2025-11-22
IMP-575,Open Impeller,Impellers,9,17,336.7,C-05-C,
FIL-576,Oil Filter Cartridge,Filters,25,11,40.11,A-16-A,2025-09-23
COM-577,Reciprocating Compressor,Compressors,16,15,2767.87,A-03-C,2025-08-05
FIL-578,Oil Filter Cartridge,Filters,24,9,59.59,B-16-B,2025-12-17
IMP-579,Closed Impeller,Impellers,7,20,349.87,B-11-C,2025-08-08
CYL-580,Welded Cylinder,Cylinders,8,9,584.26,C-08-B,
VAL-581,Solenoid Valve 24V,Valves,12,14,147.36,E-06-D,2025-09-09
SEA-582,O-Ring Set,Seals,11,18,186.66,E-11-D,
IMP-583,Closed Impeller,Impellers,24,19,290.63,C-11-C,
BEL-584,V-Belt A-Section,Belts,30,14,94.74,A-01-A,2025-10-04
ENC-585,Incremental Encoder,Encoders,7,17,1127.05,A-14-C,2025-09-13
PUM-586,Submersible Pump,Pumps,21,10,887.12,F-14-D,2025-10-17
PUM-587,Centrifugal Pump 3HP,Pumps,3,16,1377.8,B-09-C,
ENC-588,Incremental Encoder,Encoders,7,20,1003.62,A-08-C,2025-11-10
PUM-589,Centrifugal Pump 3HP,Pumps,9,18,1258.68,D-18-A,2025-11-19
BEL-590,Timing Belt,Belts,12,9,67.39,C-15-D,2025-11-02
VAL-591,Pressure Relief Valve,Valves,16,6,173.78,A-19-A,
BEL-592,Flat Belt 6in,Belts,9,20,96.65,E-04-D,
BEA-593,Thrust Bearing,Bearings,20,15,71.23,E-14-A,2025-08-13
COI-594,Evaporator Coil,Coils,17,9,511.82,D-16-A,2025-11-02
THE-595,Digital Thermostat,Thermostats,5,11,188.21,F-12-B,2025-12-02
COI-596,Condenser Coil,Coils,22,10,558.86,A-03-D,2025-09-19
HOS-597,Air Hose 50ft,Hoses,27,19,54.87,A-12-C,2025-08-19
BEL-598,V-Belt A-Section,Belts,14,16,89.65,B-08-B,2025-12-30
THE-599,Digital Thermostat,Thermostats,3,9,211.99,F-02-A,2025-09-15
BEA-600,Roller Bearing 6205,Bearings,28,16,105.86,E-08-D,
SEA-601,O-Ring Set,Seals,29,8,240.13,F-17-A,2025-09-13
FIL-602,Oil Filter Cartridge,Filters,30,11,37.16,C-08-C,2025-07-16
PUM-603,Diaphragm Pump,Pumps,25,6,1080.91,F-19-A,2025-11-19
IMP-604,Open Impeller,Impellers,14,12,289.26,E-01-A,2025-11-15
HOS-605,Hydraulic Hose 1/2in,Hoses,18,8,50.78,F-13-D,2025-08-01
BEL-606,Flat Belt 6in,Belts,25,7,83.54,A-07-D,2025-09-03
CYL-607,Tie-Rod Cylinder,Cylinders,22,6,774.78,C-19-D,2025-08-23
CYL-608,Pneumatic Cylinder,Cylinders,22,19,608.99,A-08-D,2025-10-31
SEA-609,Mechanical Seal - Type A,Seals,28,14,217.23,E-08-B,
BEA-610,Ball Bearing SKF,Bearings,0,14,125.2,B-16-D,2025-07-28
VAL-611,Check Valve 2in,Valves,1,19,132.54,B-04-D,
PUM-612,Gear Pump,Pumps,30,14,884.21,E-12-B,
CYL-613,Welded Cylinder,Cylinders,17,10,783.89,E-14-C,2025-09-01
FAN-614,Axial Fan 24in,Fans,25,9,264.4,D-11-A,2025-07-17
VAL-615,Pressure Relief Valve,Valves,20,5,191.47,E-11-C,2025-08-17
BEA-616,Ball Bearing SKF,Bearings,2,5,74.6,A-20-B,
SER-617,Servo Controller,Servos,15,6,1623.31,D-18-B,
SER-618,Servo Controller,Servos,6,18,2167.35,F-07-A,
CYL-619,Tie-Rod Cylinder,Cylinders,5,14,837.92,E-14-C,2025-08-05
PUM-620,Centrifugal Pump 3HP,Pumps,7,17,1559.82,D-18-B,2025-12-30
ENC-621,Absolute Encoder,Encoders,1,9,978.3,F-12-A,
BEA-622,Roller Bearing 6205,Bearings,16,10,75.53,F-15-D,
BEL-623,Flat Belt 6in,Belts,3,5,65.69,D-10-D,2025-11-06
PUM-624,Centrifugal Pump 3HP,Pumps,16,10,1275.5,F-20-C,
SER-625,Servo Drive,Servos,30,18,1281.27,E-02-C,
VAL-626,Pressure Relief Valve,Valves,23,10,193.38,F-11-D,2025-09-30
BEA-627,Thrust Bearing,Bearings,20,15,128.34,A-11-C,
COI-628,Evaporator Coil,Coils,30,14,578.73,B-04-D,2026-01-02
HOS-629,Air Hose 50ft,Hoses,16,8,44.3,A-03-D,
IMP-630,Pump Impeller 6in,Impellers,28,10,346.2,D-16-B,2025-11-22
FAN-631,Exhaust Fan,Fans,26,19,432.95,A-16-B,2025-11-19
FIL-632,Air Filter Element,Filters,3,18,52.02,F-02-B,2025-10-15
PUM-633,Submersible Pump,Pumps,1,6,927.97,D-15-B,2025-12-13
FAN-634,Cooling Fan,Fans,15,10,413.67,A-19-A,2025-11-12
BEL-635,Flat Belt 6in,Belts,1,16,78.13,A-17-C,
BEA-636,Thrust Bearing,Bearings,15,12,126.59,A-20-C,2026-01-02
BEA-637,Thrust Bearing,Bearings,13,19,120.72,D-05-B,2025-12-28
FIL-638,Oil Filter Cartridge,Filters,17,7,52.66,D-13-B,2025-09-07
BEA-639,Roller Bearing 6205,Bearings,11,14,105.47,A-10-B,2025-12-08
MOT-640,DC Motor 3HP,Motors,21,13,593.96,D-10-C,2025-11-17
COM-641,Screw Compressor,Compressors,25,13,2762.73,B-09-B,2025-10-20
BEA-642,Roller Bearing 6205,Bearings,4,18,105.19,B-01-C,
COM-643,Screw Compressor,Compressors,21,7,1817.08,A-05-B,2025-08-08
COI-644,Condenser Coil,Coils,17,14,376.07,F-08-D,2025-11-19
VAL-645,Solenoid Valve 24V,Valves,0,13,114.47,B-07-C,2025-11-06
BEA-646,Ball Bearing SKF,Bearings,1,20,97.01,E-05-B,2025-10-11
THE-647,Analog Thermostat,Thermostats,9,13,210.93,B-10-C,2025-09-01
SEA-648,Face Seal Assembly,Seals,26,12,166.72,A-10-C,2025-11-01
CYL-649,Welded Cylinder,Cylinders,24,11,605.03,E-01-D,2025-11-08
FIL-650,Air Filter Element,Filters,11,8,50.92,D-07-B,2025-10-02
FAN-651,Axial Fan 24in,Fans,18,12,268.17,B-09-A,2025-10-10
HOS-652,Hydraulic Hose 1/2in,Hoses,1,8,58.02,B-04-B,2025-07-14
COM-653,Rotary Compressor,Compressors,8,13,2745.45,E-07-C,
FIL-654,Hydraulic Filter 10 Micron,Filters,24,15,60.17,E-04-D,
CYL-655,Tie-Rod Cylinder,Cylinders,5,7,797.75,E-02-D,2025-10-04
PUM-656,Diaphragm Pump,Pumps,6,15,1248.66,A-05-B,2026-01-06
BEL-657,Timing Belt,Belts,1,5,87.26,A-07-D,2025-09-22
FAN-658,Exhaust Fan,Fans,9,13,373.15,E-12-D,
THE-659,Wireless Thermostat,Thermostats,3,6,200.64,E-02-D,2025-10-21
CYL-660,Hydraulic Cylinder 4in,Cylinders,7,17,799.3,B-10-D,2025-09-04
BEA-661,Ball Bearing SKF,Bearings,10,12,76.79,F-18-B,2025-12-08
VAL-662,Check Valve 2in,Valves,15,16,139.06,D-03-B,2025-11-01
HOS-663,Hydraulic Hose 1/2in,Hoses,16,16,69.87,A-11-B,2025-08-07
MOT-664,Servo Motor,Motors,25,10,437.86,F-13-C,2025-08-02
THE-665,Analog Thermostat,Thermostats,27,14,209.95,D-18-B,2025-08-25
VAL-666,Ball Valve 1/2in,Valves,23,20,184.51,E-13-C,2025-10-09
PUM-667,Gear Pump,Pumps,24,12,1540.07,D-12-C,2025-12-17
IMP-668,Pump Impeller 6in,Impellers,12,12,328.16,B-17-A,
VAL-669,Pressure Relief Valve,Valves,14,9,170.54,C-03-B,
THE-670,Analog Thermostat,Thermostats,26,5,228.83,D-08-C,2025-09-02
FAN-671,Centrifugal Fan,Fans,12,14,254.96,B-06-C,
HOS-672,Water Hose,Hoses,12,5,61.3,B-08-C,
COM-673,Reciprocating Compressor,Compressors,21,7,3108.75,D-07-A,
MOT-674,Stepper Motor,Motors,28,19,360.61,B-19-B,2025-10-03
PUM-675,Diaphragm Pump,Pumps,15,8,1267.34,A-14-B,2025-10-13
THE-676,Wireless Thermostat,Thermostats,2,14,181.21,B-19-B,
MOT-677,DC Motor 3HP,Motors,30,19,368.61,C-11-A,2025-07-24
PUM-678,Centrifugal Pump 3HP,Pumps,7,11,1033.47,B-16-D,
THE-679,Digital Thermostat,Thermostats,14,10,126.67,F-12-C,
FIL-680,Hydraulic Filter 10 Micron,Filters,11,14,41.58,D-05-A,2025-10-26
BEL-681,V-Belt A-Section,Belts,9,14,71.66,D-10-C,
IMP-682,Closed Impeller,Impellers,8,10,372.54,A-01-D,
FIL-683,Fuel Filter,Filters,20,19,44.07,C-03-C,2025-11-18
COM-684,Screw Compressor,Compressors,20,20,2948.61,A-13-A,2026-01-03
SER-685,Servo Controller,Servos,28,18,1558.07,C-02-C,2025-09-20
COM-686,Reciprocating Compressor,Compressors,5,17,2210.3,B-09-C,2025-09-06
CYL-687,Hydraulic Cylinder 4in,Cylinders,0,15,925.81,C-14-C,2025-09-20
FIL-688,Hydraulic Filter 10 Micron,Filters,10,19,49.23,E-20-C,
CYL-689,Welded Cylinder,Cylinders,17,16,852.39,B-01-A,2025-12-04
BEL-690,Flat Belt 6in,Belts,13,18,54.98,B-14-D,2025-11-14
SER-691,Servo Motor 2kW,Servos,11,7,1877.24,D-07-C,2025-12-24
PUM-692,Submersible Pump,Pumps,10,7,1402.4,E-04-B,2025-09-23
PUM-693,Gear Pump,Pumps,30,6,846.15,D-04-B,2025-09-22
THE-694,Analog Thermostat,Thermostats,29,15,195.76,F-11-A,2025-12-25
ENC-695,Rotary Encoder,Encoders,23,17,912.27,F-14-A,2025-10-11
THE-696,Digital Thermostat,Thermostats,1,12,126.18,B-07-C,2025-11-20
COM-697,Reciprocating Compressor,Compressors,26,19,1887.11,E-15-C,2025-09-08
THE-698,Digital Thermostat,Thermostats,1,5,175.22,B-01-D,2026-01-04
MOT-699,Stepper Motor,Motors,23,15,644.04,E-16-B,
FIL-700,Fuel Filter,Filters,6,11,62.64,E-18-B,
FAN-701,Exhaust Fan,Fans,15,10,453.57,D-11-C,
FAN-702,Axial Fan 24in,Fans,2,14,381.17,A-01-C,2025-10-08
ENC-703,Incremental Encoder,Encoders,13,12,961.11,D-04-A,2025-09-05
BEL-704,V-Belt A-Section,Belts,5,11,63.45,A-03-C,
BEA-705,Thrust Bearing,Bearings,0,16,107.07,F-02-B,2025-12-26
COM-706,Screw Compressor,Compressors,21,9,2678.72,C-12-D,
HOS-707,Water Hose,Hoses,21,9,62.93,C-04-A,2025-09-01
BEA-708,Roller Bearing 6205,Bearings,8,14,98.86,E-12-B,
FAN-709,Cooling Fan,Fans,7,15,342.51,A-15-D,2025-07-21
BEA-710,Pillow Block Bearing,Bearings,24,9,71.02,F-03-C,2026-01-01
MOT-711,Servo Motor,Motors,13,8,643.05,A-01-C,2025-11-28
VAL-712,Solenoid Valve 24V,Valves,0,17,141.96,E-02-D,
FAN-713,Exhaust Fan,Fans,22,11,265.46,A-12-C,2025-10-20
BEA-714,Thrust Bearing,Bearings,22,7,83.09,B-03-A,
COM-715,Screw Compressor,Compressors,8,11,2969.23,B-01-C,2025-10-29
MOT-716,DC Motor 3HP,Motors,20,11,488.23,D-13-B,
THE-717,Analog Thermostat,Thermostats,4,20,233.45,C-11-B,2025-07-14
FIL-718,Oil Filter Cartridge,Filters,29,16,37.76,E-04-C,2025-10-07
BEL-719,V-Belt A-Section,Belts,16,19,63.64,B-08-B,2025-10-10
COM-720,Scroll Compressor,Compressors,4,10,2026.25,C-08-D,
PUM-721,Centrifugal Pump 3HP,Pumps,23,13,1302.54,E-14-C,
IMP-722,Open Impeller,Impellers,8,20,259.51,A-06-D,
COM-723,Screw Compressor,Compressors,15,19,2716.19,C-05-B,2025-12-20
BEL-724,V-Belt A-Section,Belts,25,10,75.95,D-02-C,
PUM-725,Submersible Pump,Pumps,17,17,964.27,E-06-D,2025-12-09
ENC-726,Absolute Encoder,Encoders,14,13,668.27,F-10-C,2025-09-19
SER-727,Servo Gearbox,Servos,17,14,1386.87,C-17-A,2025-09-14
SER-728,Servo Gearbox,Servos,30,20,2303.85,A-20-C,
THE-729,Digital Thermostat,Thermostats,20,9,181.44,D-03-B,2025-12-24
MOT-730,Servo Motor,Motors,22,16,378.89,D-16-D,2025-08-06
THE-731,Digital Thermostat,Thermostats,3,11,192.16,C-12-A,
THE-732,Wireless Thermostat,Thermostats,22,13,227.08,F-13-B,
VAL-733,Pressure Relief Valve,Valves,22,12,111.92,B-11-C,2025-10-03
CYL-734,Hydraulic Cylinder 4in,Cylinders,9,8,904.98,F-20-A,2025-09-22
BEA-735,Thrust Bearing,Bearings,29,20,91.73,A-20-B,2025-12-16
BEL-736,Serpentine Belt,Belts,16,6,87.92,B-03-D,2025-08-17
BEA-737,Ball Bearing SKF,Bearings,19,14,80.3,A-07-A,2025-08-12
IMP-738,Pump Impeller 6in,Impellers,27,5,282.18,F-13-B,
ENC-739,Absolute Encoder,Encoders,30,10,932.47,C-07-D,2025-08-20
HOS-740,Air Hose 50ft,Hoses,21,18,52.12,D-06-C,2026-01-05
ENC-741,Linear Encoder,Encoders,11,9,978.31,D-02-D,
BEA-742,Pillow Block Bearing,Bearings,0,19,85.31,B-11-D,2025-11-30
SER-743,Servo Motor 2kW,Servos,8,5,2184.22,F-04-C,
PUM-744,Centrifugal Pump 3HP,Pumps,20,13,1290.75,C-02-D,2025-08-02
SER-745,Servo Controller,Servos,8,10,1524.29,C-09-D,
PUM-746,Gear Pump,Pumps,2,17,1029.02,B-16-A,
PUM-747,Gear Pump,Pumps,10,13,920.34,E-16-C,2025-11-21
COI-748,Condenser Coil,Coils,17,11,388.9,D-18-A,2025-09-28
SEA-749,Face Seal Assembly,Seals,6,11,178.74,D-20-B,2025-10-12
FAN-750,Axial Fan 24in,Fans,22,5,363.74,C-12-A,2025-09-19
COM-751,Rotary Compressor,Compressors,5,8,1852.77,A-01-C,2025-12-18
COM-752,Reciprocating Compressor,Compressors,7,5,3068.09,B-08-C,2025-12-22
THE-753,Digital Thermostat,Thermostats,3,8,129.36,D-20-A,2025-12-19
BEL-754,V-Belt A-Section,Belts,6,6,87.29,D-13-B,
SEA-755,O-Ring Set,Seals,29,18,149.76,E-15-A,
MOT-756,DC Motor 3HP,Motors,16,8,357.47,F-17-C,
COI-757,Cooling Coil,Coils,26,15,356.68,D-17-C,2025-12-24
MOT-758,Stepper Motor,Motors,14,20,498.77,B-16-A,2025-10-08
ENC-759,Linear Encoder,Encoders,17,11,841.95,B-14-D,
ENC-760,Linear Encoder,Encoders,18,19,1165.23,A-18-B,
HOS-761,Water Hose,Hoses,21,15,44.47,F-06-A,
HOS-762,Chemical Transfer Hose,Hoses,18,7,58.23,E-18-B,2025-07-17
IMP-763,Pump Impeller 6in,Impellers,20,6,338.22,D-12-C,
IMP-764,Open Impeller,Impellers,28,8,240.58,C-14-B,2025-12-13
FIL-765,Fuel Filter,Filters,15,18,58.34,F-15-A,2025-11-07
MOT-766,Stepper Motor,Motors,2,14,594.24,C-14-C,
MOT-767,Stepper Motor,Motors,11,18,588.41,B-20-C,2025-08-01
VAL-768,Check Valve 2in,Valves,19,16,175.8,F-07-C,2025-07-15
MOT-769,DC Motor 3HP,Motors,30,7,431.32,C-08-D,2025-08-13
BEL-770,V-Belt A-Section,Belts,4,17,63.29,F-05-D,2025-11-18
IMP-771,Closed Impeller,Impellers,24,19,287.08,B-09-D,2026-01-03
BEA-772,Ball Bearing SKF,Bearings,13,8,76.11,E-08-B,2025-07-15
ENC-773,Linear Encoder,Encoders,2,11,643.47,E-09-D,
VAL-774,Solenoid Valve 24V,Valves,2,5,155.04,D-01-C,2025-10-23
HOS-775,Hydraulic Hose 1/2in,Hoses,10,5,46.62,D-14-A,2025-09-10
PUM-776,Diaphragm Pump,Pumps,27,5,1367.45,C-16-B,2025-09-18
BEL-777,V-Belt A-Section,Belts,26,5,64.89,E-14-B,2025-10-04
THE-778,Programmable Thermostat,Thermostats,27,17,155.75,B-19-B,2025-09-07
BEA-779,Ball Bearing SKF,Bearings,4,6,122.55,D-10-B,2025-09-02
PUM-780,Submersible Pump,Pumps,20,14,1165.67,E-20-C,2025-10-28
COM-781,Screw Compressor,Compressors,6,9,3173.62,C-16-C,2025-11-03
COM-782,Scroll Compressor,Compressors,26,11,2711.34,A-07-B,
COM-783,Reciprocating Compressor,Compressors,28,14,2159.45,B-13-D,2025-12-08
BEA-784,Thrust Bearing,Bearings,26,11,80.29,A-17-C,2025-09-16
BEL-785,V-Belt A-Section,Belts,22,6,72.83,C-05-D,2025-12-31
MOT-786,DC Motor 3HP,Motors,2,18,540.53,E-16-C,
BEA-787,Pillow Block Bearing,Bearings,25,8,128.91,F-17-C,2025-10-01
IMP-788,Pump Impeller 6in,Impellers,28,14,380.97,E-13-B,
SEA-789,Face Seal Assembly,Seals,24,12,161.27,F-11-C,
THE-790,Programmable Thermostat,Thermostats,5,8,159.97,A-02-B,2025-10-02
BEA-791,Roller Bearing 6205,Bearings,19,18,111.99,D-01-C,
COM-792,Screw Compressor,Compressors,8,18,3127.24,B-13-B,2025-12-11
PUM-793,Submersible Pump,Pumps,28,20,1478.19,D-05-A,2025-11-18
BEA-794,Ball Bearing SKF,Bearings,12,11,113.11,C-02-D,2025-09-11
CYL-795,Tie-Rod Cylinder,Cylinders,8,11,1034.65,D-02-D,2025-12-17
CYL-796,Tie-Rod Cylinder,Cylinders,11,7,954.55,B-15-B,2025-12-14
VAL-797,Pressure Relief Valve,Valves,10,11,157.87,F-05-D,2025-08-17
PUM-798,Gear Pump,Pumps,21,12,1332.16,B-15-B,2025-08-30
THE-799,Digital Thermostat,Thermostats,3,7,142.49,C-02-B,2025-12-23
CYL-800,Hydraulic Cylinder 4in,Cylinders,17,15,795.99,B-17-C,
ENC-801,Rotary Encoder,Encoders,20,13,1164.66,F-19-B,
SER-802,Servo Controller,Servos,2,16,2045.0,B-19-C,2025-12-08
BEL-803,Serpentine Belt,Belts,2,6,91.3,A-07-D,
ENC-804,Incremental Encoder,Encoders,26,7,1040.03,B-02-C,
BEL-805,Flat Belt 6in,Belts,2,6,81.7,F-07-A,2025-07-23
